NA_ID,NEIGHB_NAME,MostCommonPropertyUse,Bedrooms,CurrentTotal,NetTaxes,LotSize,TotalDwellingUnits
1,Allied Dunn's Marsh Neighborhood Association,104 unit Apartment,0.0,2100000.0,38296.62,222624.0,104
1,Allied Dunn's Marsh Neighborhood Association,16 unit Apartment,0.0,960000.0,17459.18,35038.0,16
1,Allied Dunn's Marsh Neighborhood Association,2 Unit,52.0,3097600.0,55233.44,148409.29,24
1,Allied Dunn's Marsh Neighborhood Association,3 unit Apartment,24.0,1345300.0,24237.43,28232.04,12
1,Allied Dunn's Marsh Neighborhood Association,30 unit Apartment,0.0,3418000.0,62299.48,84969.51999999999,60
1,Allied Dunn's Marsh Neighborhood Association,32 unit Apartment,0.0,2671000.0,48733.62,37341.0,32
1,Allied Dunn's Marsh Neighborhood Association,36 unit Apartment,0.0,3220000.0,58768.5,100662.0,36
1,Allied Dunn's Marsh Neighborhood Association,4 unit Apartment,197.0,9230000.0,166859.01,238587.18,100
1,Allied Dunn's Marsh Neighborhood Association,70 unit Apartment,0.0,1033000.0,0.0,76620.0,70
1,Allied Dunn's Marsh Neighborhood Association,8 unit Apartment,0.0,16211000.0,293755.95,489863.72,232
1,Allied Dunn's Marsh Neighborhood Association,9 unit Apartment,0.0,783000.0,14223.89,18731.0,9
1,Allied Dunn's Marsh Neighborhood Association,Apartment & store,0.0,581000.0,10531.65,9600.0,2
1,Allied Dunn's Marsh Neighborhood Association,C-1 parking lot,0.0,56500.0,944.59,4800.0,0
1,Allied Dunn's Marsh Neighborhood Association,C-2 parking lot,0.0,131400.0,2225.49,11520.0,0
1,Allied Dunn's Marsh Neighborhood Association,Commercial exempt,0.0,0.0,0.0,396895.58,0
1,Allied Dunn's Marsh Neighborhood Association,Condominium,146.0,5596800.0,96355.75,163872.76,72
1,Allied Dunn's Marsh Neighborhood Association,Day care center,0.0,557000.0,10092.96,24208.6,0
1,Allied Dunn's Marsh Neighborhood Association,"Garage, repair",0.0,2662900.0,48585.57,43727.6,0
1,Allied Dunn's Marsh Neighborhood Association,Gas & store,0.0,1832500.0,33318.979999999996,55937.2,0
1,Allied Dunn's Marsh Neighborhood Association,Office - 1 story,0.0,255000.0,4572.85,4800.0,0
1,Allied Dunn's Marsh Neighborhood Association,Office converted sm.,0.0,442000.0,7990.93,14562.0,0
1,Allied Dunn's Marsh Neighborhood Association,Other,4.0,0.0,0.0,18278.4,1
1,Allied Dunn's Marsh Neighborhood Association,Rest drive-in w/seat,0.0,979000.0,17806.47,34085.6,0
1,Allied Dunn's Marsh Neighborhood Association,Restaurant,0.0,308000.0,5541.62,9681.0,0
1,Allied Dunn's Marsh Neighborhood Association,Shop center neighbor,0.0,3882600.0,70791.65000000001,178209.12,0
1,Allied Dunn's Marsh Neighborhood Association,Single family,824.0,73183100.0,1243556.24,2168828.0,288
1,Allied Dunn's Marsh Neighborhood Association,Store 1 sty sm,0.0,3786600.0,68772.48,132030.0,0
1,Allied Dunn's Marsh Neighborhood Association,Store 2 sty small,0.0,1723000.0,31317.5,19200.0,0
1,Allied Dunn's Marsh Neighborhood Association,Vacant,0.0,109500.0,2001.5,1875932.5,0
2,Appalachian Ridge Neighborhood Association,Single family,81.0,12797000.0,225735.68,820759.26,22
2,Appalachian Ridge Neighborhood Association,Vacant,0.0,233900.0,4275.34,30869.0,0
3,Arbor Hills Neighborhood Association,2 Unit,328.0,23881500.0,425953.52,881838.98,128
3,Arbor Hills Neighborhood Association,238 unit Apartment,0.0,24032000.0,439179.87,484470.0,238
3,Arbor Hills Neighborhood Association,3 unit Apartment,7.0,383900.0,6928.95,17424.0,3
3,Arbor Hills Neighborhood Association,64 unit Apartment,0.0,6000000.0,109582.63,62290.8,64
3,Arbor Hills Neighborhood Association,"Bank, s & l",0.0,1534500.0,27960.14,17424.0,0
3,Arbor Hills Neighborhood Association,Commercial exempt,0.0,0.0,0.0,454534.0,0
3,Arbor Hills Neighborhood Association,Condominium,46.0,2955200.0,49324.8,111141.0,16
3,Arbor Hills Neighborhood Association,Office 2 sty or lg.,0.0,16632400.0,303926.56,285843.0,0
3,Arbor Hills Neighborhood Association,Single family,1323.0,157896700.0,2747644.54,5313964.22,361
3,Arbor Hills Neighborhood Association,Vacant,0.0,114500.0,2092.88,1410901.0,0
4,Bay Creek Neighborhood Association,12 unit Apartment,0.0,1460000.0,26598.42,20969.1,12
4,Bay Creek Neighborhood Association,172 unit Apartment,0.0,32270000.0,589757.85,69364.0,172
4,Bay Creek Neighborhood Association,2 Unit,203.0,22130200.0,391606.35,399007.34,114
4,Bay Creek Neighborhood Association,3 unit Apartment,92.0,8767300.0,155864.7,170990.76,60
4,Bay Creek Neighborhood Association,4 unit Apartment,150.0,12955000.0,234265.57,197395.12,100
4,Bay Creek Neighborhood Association,41 unit Apartment,0.0,8210000.0,149978.03,27928.0,41
4,Bay Creek Neighborhood Association,5 unit Apartment,5.0,750000.0,13532.529999999999,14619.0,10
4,Bay Creek Neighborhood Association,6 unit Apartment,39.0,3375000.0,61249.07,44913.54,30
4,Bay Creek Neighborhood Association,62 unit Apartment,0.0,11910000.0,217608.35,25763.0,62
4,Bay Creek Neighborhood Association,66 unit Apartment,0.0,6750000.0,123291.48,58750.0,66
4,Bay Creek Neighborhood Association,67 unit Apartment,0.0,12413000.0,226802.42,33007.0,67
4,Bay Creek Neighborhood Association,72 unit Apartment,0.0,7027000.0,128354.61,109761.0,72
4,Bay Creek Neighborhood Association,8 unit Apartment,0.0,7314000.0,132983.46,82508.0,64
4,Bay Creek Neighborhood Association,Apartment & office,0.0,1619000.0,29240.239999999998,19608.63,8
4,Bay Creek Neighborhood Association,Apartment & store,0.0,4939000.0,88979.5,72958.5,27
4,Bay Creek Neighborhood Association,C-1 parking lot,0.0,469000.0,8484.45,157821.0,0
4,Bay Creek Neighborhood Association,C-1 vacant,0.0,13000.0,237.61,2500.0,0
4,Bay Creek Neighborhood Association,C-2 parking lot,0.0,1303000.0,23552.390000000003,333081.74,0
4,Bay Creek Neighborhood Association,C-3 parking lot,0.0,282000.0,4978.24,23584.0,0
4,Bay Creek Neighborhood Association,"Car wash, auto",0.0,1185000.0,21571.83,34800.0,0
4,Bay Creek Neighborhood Association,Commercial exempt,0.0,10300.0,100.12,1837859.46,0
4,Bay Creek Neighborhood Association,Condominium -office,0.0,2835000.0,51643.12,30548.0,0
4,Bay Creek Neighborhood Association,Condominium-notation,0.0,11675000.0,213224.75,127138.2,150
4,Bay Creek Neighborhood Association,Gar used car & fix,0.0,345000.0,6217.93,22864.07,0
4,Bay Creek Neighborhood Association,"Garage, frame sm.",0.0,90000.0,1556.91,7936.0,0
4,Bay Creek Neighborhood Association,"Garage, masonry sm.",0.0,477000.0,8630.67,6539.0,0
4,Bay Creek Neighborhood Association,"Garage, repair",0.0,1887000.0,34050.71,124584.33,0
4,Bay Creek Neighborhood Association,Gas & store,0.0,1740000.0,31628.239999999998,40781.0,0
4,Bay Creek Neighborhood Association,"Grocer, small",0.0,1940000.0,35372.08,99752.0,0
4,Bay Creek Neighborhood Association,M-1 vacant,0.0,66200.0,1210.02,35639.52,0
4,Bay Creek Neighborhood Association,Medical clinic,0.0,75275000.0,1375734.99,353988.0,0
4,Bay Creek Neighborhood Association,Office - 1 story,0.0,8300000.0,151534.94,146860.0,0
4,Bay Creek Neighborhood Association,Office 2 sty or lg.,0.0,553000.0,10019.83,14334.64,0
4,Bay Creek Neighborhood Association,Office converted sm.,0.0,115000.0,2013.88,4800.0,0
4,Bay Creek Neighborhood Association,Other,0.0,0.0,0.0,22500.0,0
4,Bay Creek Neighborhood Association,Restaurant,0.0,2274000.0,41300.770000000004,36239.45,0
4,Bay Creek Neighborhood Association,Restaurant & apts.,0.0,1186000.0,21501.96,13650.0,3
4,Bay Creek Neighborhood Association,Restaurant & store,0.0,1342000.0,24441.55,59034.0,0
4,Bay Creek Neighborhood Association,Shop & warehouse,0.0,731000.0,13273.4,38810.0,0
4,Bay Creek Neighborhood Association,"Shop, 1 story sm.",0.0,750000.0,13444.41,24118.0,0
4,Bay Creek Neighborhood Association,Single family,1809.0,253813900.0,4423097.93,4185340.1,633
4,Bay Creek Neighborhood Association,Store 1 sty sm,0.0,4492000.0,81049.03,86637.0,0
4,Bay Creek Neighborhood Association,Store 2 sty small,0.0,335000.0,6035.12,8990.0,0
4,Bay Creek Neighborhood Association,Store-warehse 1 sty.,0.0,1457000.0,26455.42,54809.630000000005,0
4,Bay Creek Neighborhood Association,Tavern & apartment,0.0,322000.0,5797.51,6170.0,2
4,Bay Creek Neighborhood Association,Vacant,0.0,263100.0,4809.05,2488254.61,0
4,Bay Creek Neighborhood Association,Warehouse & office,0.0,1250000.0,22671.79,56454.0,0
4,Bay Creek Neighborhood Association,Warehouse 1 story,0.0,3133000.0,56825.67,224157.0,0
5,Bayview Foundation Inc.,145 unit Apartment,0.0,6230000.0,113786.68,212308.0,145
5,Bayview Foundation Inc.,Commercial exempt,0.0,0.0,0.0,147612.43,0
6,Berkley Oaks Neighborhood Association,4 unit Apartment,120.0,5485000.0,98455.11,130655.1,52
